variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
1,1,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Medium,
1,2,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Hard,0.01
1,3,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Easy,
1,4,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Medium,0.01
1,5,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Hard,
1,6,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Easy,0.01
1,7,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Medium,
1,8,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Hard,0.01
1,9,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Easy,
1,10,num,x=3 үед y=x² функцийн утга хэд вэ?,,,,,9,1,9,Функц ба график,Medium,0.01
1,11,mcq,y=3x² функцийн уламжлалыг ол.,6x,3x,x²,6,A,1,6x,Функцийн уламжлал,Hard,
1,12,num,∫0→2 x dx = ?,,,,,2.0,1,2.0,Интеграл,Easy,0.01
1,13,mcq,Шоо орхиход 6 гарах магадлал хэд вэ?,1/2,1/3,1/6,1/4,C,1,1/6,Магадлал статистик,Medium,
1,14,num,|3+4i|-г ол.,,,,,5,1,5,Комплекс тоо,Hard,0.01
1,15,mcq,log_2(8) = ?,2,3,4,1,B,1,3,Логарифм,Easy,
1,16,num,x=2 үед x²+2x+1 хэд вэ?,,,,,9,1,9,Олон гишүүнт,Medium,0.01
1,17,mcq,y=2x+1 шулуугийн налуу хэд вэ?,1,2,3,0,B,1,2,Функц ба график,Hard,
1,18,num,y=x³ функцийн x=2 дээрх уламжлал хэд вэ?,,,,,12,1,12,Функцийн уламжлал,Easy,0.01
1,19,mcq,∫ x dx = ?,x²/2 + C,ln|x|+C,x³/3 + C,2x+C,A,1,x²/2 + C,Интеграл,Medium,
1,20,num,10 зоос шидэхэд толгойны хүлээгдэж буй дундаж хэд вэ?,,,,,5,1,5,Магадлал статистик,Hard,0.01
1,21,mcq,i² = ?,1,-1,i,-i,B,1,-1,Комплекс тоо,Easy,
1,22,num,log_10(100) тооцоол.,,,,,2,1,2,Логарифм,Medium,0.01
1,23,mcq,(x+2)(x+3)-г үржүүл.,x²+5x+6,x²+6x+5,x²+2x+3,x²+3x+2,A,1,x²+5x+6,Олон гишүүнт,Hard,
