variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
3,1,mcq,|x - 2| = 3. x-ийн утгыг ол.,-1,5,11,18,B,1,"x = [5, -1]",Модульт тэгшитгэл,Easy,
3,2,mcq,|x - 7| = 2. x-ийн утгыг ол.,9,10,5,11,A,1,"x = [9, 5]",Модульт тэгшитгэл,Medium,
3,3,mcq,|x - 7| = 6. x-ийн утгыг ол.,13,5,1,4,A,1,"x = [13, 1]",Модульт тэгшитгэл,Medium,
3,4,mcq,|x - 3| = 2. x-ийн утгыг ол.,1,14,5,2,C,1,"x = [5, 1]",Модульт тэгшитгэл,Hard,
3,5,mcq,|x - 8| = 4. x-ийн утгыг ол.,19,12,16,4,B,1,"x = [12, 4]",Модульт тэгшитгэл,Hard,
3,6,mcq,|x - 8| = 5. x-ийн утгыг ол.,16,3,13,1,C,1,"x = [13, 3]",Модульт тэгшитгэл,Hard,
3,7,mcq,|x - 7| = 6. x-ийн утгыг ол.,13,3,15,1,A,1,"x = [13, 1]",Модульт тэгшитгэл,Medium,
3,8,mcq,|x - 3| = 6. x-ийн утгыг ол.,4,-3,14,9,D,1,"x = [9, -3]",Модульт тэгшитгэл,Easy,
3,9,mcq,|x - 10| = 4. x-ийн утгыг ол.,14,17,9,6,A,1,"x = [14, 6]",Модульт тэгшитгэл,Easy,
3,10,mcq,|x - 6| = 1. x-ийн утгыг ол.,13,5,7,8,C,1,"x = [7, 5]",Модульт тэгшитгэл,Hard,
3,11,mcq,|x - 10| = 8. x-ийн утгыг ол.,19,2,18,3,C,1,"x = [18, 2]",Модульт тэгшитгэл,Hard,
3,12,mcq,|x - 10| = 1. x-ийн утгыг ол.,11,14,9,19,A,1,"x = [11, 9]",Модульт тэгшитгэл,Easy,
3,13,mcq,|x - 10| = 2. x-ийн утгыг ол.,12,15,8,10,A,1,"x = [12, 8]",Модульт тэгшитгэл,Medium,
3,14,mcq,|x - 10| = 10. x-ийн утгыг ол.,2,15,0,20,D,1,"x = [20, 0]",Модульт тэгшитгэл,Hard,
3,15,mcq,|x - 4| = 4. x-ийн утгыг ол.,10,2,8,0,C,1,"x = [8, 0]",Модульт тэгшитгэл,Easy,
