variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
2,1,mcq,|x - 3| = 8. x-ийн утгыг ол.,-5,17,11,0,C,1,"x = [11, -5]",Модульт тэгшитгэл,Medium,
2,2,mcq,|x - 4| = 5. x-ийн утгыг ол.,-1,6,9,20,C,1,"x = [9, -1]",Модульт тэгшитгэл,Medium,
2,3,mcq,|x - 9| = 1. x-ийн утгыг ол.,9,8,0,10,D,1,"x = [10, 8]",Модульт тэгшитгэл,Easy,
2,4,mcq,|x - 2| = 6. x-ийн утгыг ол.,18,8,-4,7,B,1,"x = [8, -4]",Модульт тэгшитгэл,Medium,
2,5,mcq,|x - 3| = 6. x-ийн утгыг ол.,9,0,-3,14,A,1,"x = [9, -3]",Модульт тэгшитгэл,Hard,
2,6,mcq,|x - 7| = 1. x-ийн утгыг ол.,17,6,8,14,C,1,"x = [8, 6]",Модульт тэгшитгэл,Easy,
2,7,mcq,|x - 5| = 4. x-ийн утгыг ол.,10,1,20,9,D,1,"x = [9, 1]",Модульт тэгшитгэл,Medium,
2,8,mcq,|x - 2| = 10. x-ийн утгыг ол.,7,12,-8,13,B,1,"x = [12, -8]",Модульт тэгшитгэл,Easy,
2,9,mcq,|x - 10| = 5. x-ийн утгыг ол.,5,19,7,15,D,1,"x = [15, 5]",Модульт тэгшитгэл,Easy,
2,10,mcq,|x - 9| = 1. x-ийн утгыг ол.,8,7,9,10,D,1,"x = [10, 8]",Модульт тэгшитгэл,Easy,
2,11,mcq,|x - 3| = 2. x-ийн утгыг ол.,9,1,3,5,D,1,"x = [5, 1]",Модульт тэгшитгэл,Easy,
2,12,mcq,|x - 1| = 5. x-ийн утгыг ол.,6,-4,12,13,A,1,"x = [6, -4]",Модульт тэгшитгэл,Medium,
2,13,mcq,|x - 2| = 3. x-ийн утгыг ол.,5,-1,16,19,A,1,"x = [5, -1]",Модульт тэгшитгэл,Medium,
2,14,mcq,|x - 10| = 2. x-ийн утгыг ол.,12,14,8,10,A,1,"x = [12, 8]",Модульт тэгшитгэл,Hard,
2,15,mcq,|x - 5| = 8. x-ийн утгыг ол.,5,-3,0,13,D,1,"x = [13, -3]",Модульт тэгшитгэл,Hard,
2,16,mcq,|x - 6| = 6. x-ийн утгыг ол.,14,0,19,12,D,1,"x = [12, 0]",Модульт тэгшитгэл,Hard,
2,17,mcq,|x - 10| = 7. x-ийн утгыг ол.,3,17,7,1,B,1,"x = [17, 3]",Модульт тэгшитгэл,Hard,
2,18,mcq,|x - 6| = 7. x-ийн утгыг ол.,-1,13,20,5,B,1,"x = [13, -1]",Модульт тэгшитгэл,Hard,
