variant,qnum,type,question,A,B,C,D,correct,score,solution,topic,difficulty,tolerance
1,1,mcq,|x - 5| = 2. x-ийн утгыг ол.,7,18,3,9,A,1,"x = [7, 3]",Модульт тэгшитгэл,Medium,
1,2,mcq,|x - 10| = 4. x-ийн утгыг ол.,6,14,13,20,B,1,"x = [14, 6]",Модульт тэгшитгэл,Medium,
1,3,mcq,|x - 5| = 1. x-ийн утгыг ол.,16,6,4,10,B,1,"x = [6, 4]",Модульт тэгшитгэл,Medium,
1,4,mcq,|x - 9| = 4. x-ийн утгыг ол.,10,13,5,20,B,1,"x = [13, 5]",Модульт тэгшитгэл,Medium,
1,5,mcq,|x - 8| = 2. x-ийн утгыг ол.,6,10,16,14,B,1,"x = [10, 6]",Модульт тэгшитгэл,Medium,
1,6,mcq,|x - 7| = 10. x-ийн утгыг ол.,14,17,-3,15,B,1,"x = [17, -3]",Модульт тэгшитгэл,Hard,
1,7,mcq,|x - 2| = 2. x-ийн утгыг ол.,0,17,4,8,C,1,"x = [4, 0]",Модульт тэгшитгэл,Medium,
1,8,mcq,|x - 5| = 5. x-ийн утгыг ол.,20,10,0,9,B,1,"x = [10, 0]",Модульт тэгшитгэл,Hard,
1,9,mcq,|x - 2| = 2. x-ийн утгыг ол.,17,4,13,0,B,1,"x = [4, 0]",Модульт тэгшитгэл,Easy,
1,10,mcq,|x - 9| = 6. x-ийн утгыг ол.,19,15,3,8,B,1,"x = [15, 3]",Модульт тэгшитгэл,Medium,
1,11,mcq,|x - 4| = 6. x-ийн утгыг ол.,10,-2,15,4,A,1,"x = [10, -2]",Модульт тэгшитгэл,Hard,
1,12,mcq,|x - 7| = 10. x-ийн утгыг ол.,-3,15,17,0,C,1,"x = [17, -3]",Модульт тэгшитгэл,Hard,
1,13,mcq,|x - 6| = 7. x-ийн утгыг ол.,9,5,13,-1,C,1,"x = [13, -1]",Модульт тэгшитгэл,Hard,
1,14,mcq,|x - 10| = 3. x-ийн утгыг ол.,9,1,7,13,D,1,"x = [13, 7]",Модульт тэгшитгэл,Medium,
1,15,mcq,|x - 5| = 2. x-ийн утгыг ол.,17,7,3,1,B,1,"x = [7, 3]",Модульт тэгшитгэл,Medium,
1,16,mcq,|x - 4| = 1. x-ийн утгыг ол.,5,10,3,2,A,1,"x = [5, 3]",Модульт тэгшитгэл,Medium,
1,17,mcq,|x - 3| = 5. x-ийн утгыг ол.,8,2,-2,10,A,1,"x = [8, -2]",Модульт тэгшитгэл,Medium,
1,18,mcq,|x - 5| = 2. x-ийн утгыг ол.,3,7,8,9,B,1,"x = [7, 3]",Модульт тэгшитгэл,Hard,
1,19,mcq,|x - 4| = 2. x-ийн утгыг ол.,6,2,12,10,A,1,"x = [6, 2]",Модульт тэгшитгэл,Hard,
